xPos,yPos,d,t,a,
0.000000,0.000000,0.000000,0.000000,driveSetOdometryRoutine,
0.000000,0.000000,0.000000,0.000000,drivePathRoutine,
0.087494,0.000000,0.000000,0.270022,drivePathRoutine,
0.174223,0.000000,0.000000,0.381033,drivePathRoutine,
0.259560,0.000000,0.000000,0.465081,drivePathRoutine,
0.343018,0.000000,0.000000,0.534648,drivePathRoutine,
0.424239,0.000000,0.000000,0.594586,drivePathRoutine,
0.502987,0.000000,0.000000,0.648394,drivePathRoutine,
0.579137,0.000000,0.000000,0.699160,drivePathRoutine,
0.652661,0.000000,0.000000,0.748176,drivePathRoutine,
0.723625,0.000000,0.000000,0.795486,drivePathRoutine,
0.792172,0.000000,0.000000,0.841184,drivePathRoutine,
0.858519,0.000000,0.000000,0.885415,drivePathRoutine,
0.922939,0.000000,0.000000,0.928362,drivePathRoutine,
1.047341,0.000000,0.000000,1.011296,drivePathRoutine,
1.168400,0.000000,0.000000,1.092003,drivePathRoutine,
1.289459,0.000000,0.000000,1.172709,drivePathRoutine,
1.413861,0.000000,0.000000,1.255643,drivePathRoutine,
1.478281,0.000000,0.000000,1.298590,drivePathRoutine,
1.544628,0.000000,0.000000,1.342821,drivePathRoutine,
1.613175,0.000000,0.000000,1.388519,drivePathRoutine,
1.684139,0.000000,0.000000,1.435829,drivePathRoutine,
1.757663,0.000000,0.000000,1.484845,drivePathRoutine,
1.833813,0.000000,0.000000,1.535611,drivePathRoutine,
1.912561,0.000000,0.000000,1.589419,drivePathRoutine,
1.993782,0.000000,0.000000,1.649357,drivePathRoutine,
2.077240,0.000000,0.000000,1.718924,drivePathRoutine,
2.162577,0.000000,0.000000,1.802972,drivePathRoutine,
2.249306,0.000000,0.000000,1.913984,drivePathRoutine,
2.336800,0.000000,0.000000,2.184005,drivePathRoutine,
2.336800,0.000000,-0.000000,2.184005,drivePathRoutine,
2.262611,0.000142,-0.326262,2.320193,drivePathRoutine,
2.188405,0.001109,-1.263382,2.376620,drivePathRoutine,
2.114177,0.003653,-2.749316,2.419946,drivePathRoutine,
2.039939,0.008452,-4.721660,2.459809,drivePathRoutine,
1.965717,0.016105,-7.116175,2.501864,drivePathRoutine,
1.891547,0.027144,-9.865717,2.547099,drivePathRoutine,
1.817481,0.042031,-12.900125,2.594830,drivePathRoutine,
1.743582,0.061159,-16.147313,2.644483,drivePathRoutine,
1.669924,0.084861,-19.535495,2.695559,drivePathRoutine,
1.596590,0.113405,-22.996117,2.747625,drivePathRoutine,
1.523674,0.147003,-26.466912,2.800297,drivePathRoutine,
1.451279,0.185810,-29.894451,2.853245,drivePathRoutine,
1.379515,0.229926,-33.235767,2.906191,drivePathRoutine,
1.308502,0.279403,-36.458875,2.958904,drivePathRoutine,
1.238364,0.334240,-39.542305,3.011200,drivePathRoutine,
1.169233,0.394395,-42.473906,3.062937,drivePathRoutine,
1.101245,0.459778,-45.249271,3.114013,drivePathRoutine,
1.034543,0.530261,-47.870037,3.164360,drivePathRoutine,
0.969270,0.605677,-50.342311,3.213938,drivePathRoutine,
0.905576,0.685823,-52.675303,3.262736,drivePathRoutine,
0.843611,0.770463,-54.880233,3.310760,drivePathRoutine,
0.783528,0.859330,-56.969507,3.358038,drivePathRoutine,
0.725482,0.952129,-58.956126,3.404611,drivePathRoutine,
0.669627,1.048541,-60.853286,3.450533,drivePathRoutine,
0.616115,1.148220,-62.674143,3.495870,drivePathRoutine,
0.565101,1.250805,-64.431687,3.540695,drivePathRoutine,
0.516735,1.355912,-66.138709,3.585092,drivePathRoutine,
0.471166,1.463145,-67.807837,3.629149,drivePathRoutine,
0.428539,1.572094,-69.451614,3.672961,drivePathRoutine,
0.388995,1.682338,-71.082618,3.716629,drivePathRoutine,
0.352672,1.793452,-72.713619,3.760255,drivePathRoutine,
0.319700,1.905000,-74.357754,3.803947,drivePathRoutine,
0.290205,2.016548,-76.028733,3.847816,drivePathRoutine,
0.264305,2.127662,-77.741070,3.891974,drivePathRoutine,
0.242111,2.237906,-79.510336,3.936536,drivePathRoutine,
0.223727,2.346855,-81.353439,3.981615,drivePathRoutine,
0.209246,2.454088,-83.288921,4.027327,drivePathRoutine,
0.198752,2.559195,-85.337272,4.073786,drivePathRoutine,
0.192319,2.661780,-87.521221,4.121103,drivePathRoutine,
0.190009,2.761459,-89.865999,4.169386,drivePathRoutine,
0.191875,2.857871,-92.399479,4.218736,drivePathRoutine,
0.197953,2.950670,-95.152113,4.269246,drivePathRoutine,
0.208270,3.039537,-98.156501,4.320996,drivePathRoutine,
0.222836,3.124177,-101.446346,4.374047,drivePathRoutine,
0.241649,3.204323,-105.054518,4.428433,drivePathRoutine,
0.264689,3.279739,-109.009838,4.484155,drivePathRoutine,
0.291921,3.350222,-113.332297,4.541167,drivePathRoutine,
0.323294,3.415605,-118.026676,4.599366,drivePathRoutine,
0.340512,3.446343,-120.508848,4.628889,drivePathRoutine,
0.358739,3.475760,-123.075141,4.658640,drivePathRoutine,
0.377961,3.503847,-125.718652,4.688584,drivePathRoutine,
0.398167,3.530597,-128.430349,4.718684,drivePathRoutine,
0.419343,3.556007,-131.199062,4.748895,drivePathRoutine,
0.441474,3.580074,-134.011599,4.779167,drivePathRoutine,
0.464543,3.602800,-136.852982,4.809448,drivePathRoutine,
0.488532,3.624190,-139.706796,4.839682,drivePathRoutine,
0.513423,3.644252,-142.555654,4.869808,drivePathRoutine,
0.539195,3.662997,-145.381723,4.899766,drivePathRoutine,
0.565828,3.680439,-148.167283,4.929493,drivePathRoutine,
0.593296,3.696595,-150.895268,4.958925,drivePathRoutine,
0.621578,3.711487,-153.549746,4.988002,drivePathRoutine,
0.650646,3.725139,-156.116302,5.016660,drivePathRoutine,
0.711032,3.748841,-160.937024,5.072400,drivePathRoutine,
0.774219,3.767969,-165.279356,5.125756,drivePathRoutine,
0.839948,3.782856,-169.094111,5.176264,drivePathRoutine,
0.907935,3.793895,-172.355030,5.223442,drivePathRoutine,
0.977872,3.801548,-175.050467,5.266735,drivePathRoutine,
1.049423,3.806347,-177.174827,5.306596,drivePathRoutine,
1.122226,3.808891,-178.720826,5.349240,drivePathRoutine,
1.195891,3.809858,-179.672695,5.405336,drivePathRoutine,
1.270000,3.810000,180.000000,5.541452,drivePathRoutine,
