xPos,yPos,d,t,a,
1.210000,0.662000,20.000000,0.000000,driveSetOdometryRoutine,
1.210000,0.662000,20.000000,0.000000,drivePathRoutine,
1.297756,0.694193,20.429782,0.341823,drivePathRoutine,
1.382240,0.726552,21.608406,0.479510,drivePathRoutine,
1.461371,0.759261,23.425187,0.580482,drivePathRoutine,
1.534189,0.792517,25.770583,0.661080,drivePathRoutine,
1.600681,0.826519,28.466150,0.728271,drivePathRoutine,
1.661591,0.861462,31.224218,0.786229,drivePathRoutine,
1.718236,0.897523,33.667426,0.837909,drivePathRoutine,
1.772321,0.934855,35.425341,0.885573,drivePathRoutine,
1.825758,0.973576,36.265712,0.930983,drivePathRoutine,
1.880480,1.013762,36.174888,0.975496,drivePathRoutine,
1.938252,1.055433,35.338672,1.020285,drivePathRoutine,
2.000493,1.098552,34.052194,1.068155,drivePathRoutine,
2.068090,1.143006,32.624432,1.122080,drivePathRoutine,
2.141210,1.188603,31.323859,1.183272,drivePathRoutine,
2.219120,1.235061,30.375220,1.252856,drivePathRoutine,
2.300000,1.282000,30.000000,1.331784,drivePathRoutine,
2.379918,1.328634,30.794159,1.419803,drivePathRoutine,
2.451717,1.373186,33.189225,1.513045,drivePathRoutine,
2.510028,1.414254,37.720287,1.607363,drivePathRoutine,
2.533178,1.433223,41.184228,1.653871,drivePathRoutine,
2.552111,1.451084,45.817066,1.699554,drivePathRoutine,
2.559992,1.459595,48.695154,1.722068,drivePathRoutine,
2.566828,1.467828,52.025739,1.744393,drivePathRoutine,
2.572636,1.475786,55.870301,1.766597,drivePathRoutine,
2.577441,1.483475,60.284295,1.788808,drivePathRoutine,
2.579476,1.487219,62.717462,1.799980,drivePathRoutine,
2.581271,1.490899,65.304269,1.811244,drivePathRoutine,
2.582832,1.494515,68.043285,1.822646,drivePathRoutine,
2.584163,1.498068,70.929383,1.834249,drivePathRoutine,
2.585269,1.501559,73.953107,1.846131,drivePathRoutine,
2.586155,1.504990,77.100206,1.858333,drivePathRoutine,
2.586828,1.508361,80.351453,1.870815,drivePathRoutine,
2.587294,1.511675,83.682827,1.883506,drivePathRoutine,
2.587558,1.514932,87.066145,1.896323,drivePathRoutine,
2.587627,1.518134,90.470122,1.909172,drivePathRoutine,
2.587508,1.521283,93.861798,1.921952,drivePathRoutine,
2.587208,1.524381,97.208149,1.934563,drivePathRoutine,
2.586734,1.527428,100.477712,1.946908,drivePathRoutine,
2.586092,1.530427,103.642007,1.958901,drivePathRoutine,
2.585292,1.533379,106.676600,1.970468,drivePathRoutine,
2.584340,1.536287,109.561735,1.981549,drivePathRoutine,
2.583244,1.539151,112.282526,1.992100,drivePathRoutine,
2.582012,1.541975,114.828762,2.002141,drivePathRoutine,
2.579173,1.547507,119.377157,2.020988,drivePathRoutine,
2.575888,1.552898,123.197610,2.038569,drivePathRoutine,
2.572225,1.558164,126.315963,2.055171,drivePathRoutine,
2.564039,1.568389,130.617939,2.086036,drivePathRoutine,
2.555165,1.578315,132.610885,2.114265,drivePathRoutine,
2.537530,1.597801,130.253800,2.171202,drivePathRoutine,
2.529802,1.607617,125.731652,2.202108,drivePathRoutine,
2.526420,1.612595,122.529045,2.218537,drivePathRoutine,
2.523430,1.617638,118.660294,2.235812,drivePathRoutine,
2.520882,1.622760,114.120739,2.254214,drivePathRoutine,
2.519787,1.625353,111.608194,2.263977,drivePathRoutine,
2.518820,1.627970,108.944936,2.274187,drivePathRoutine,
2.517984,1.630612,106.144124,2.284834,drivePathRoutine,
2.517284,1.633280,103.223005,2.295866,drivePathRoutine,
2.516725,1.635976,100.202805,2.307217,drivePathRoutine,
2.516310,1.638700,97.108270,2.318812,drivePathRoutine,
2.516043,1.641453,93.966867,2.330565,drivePathRoutine,
2.515927,1.644237,90.807697,2.342387,drivePathRoutine,
2.515965,1.647051,87.660218,2.354187,drivePathRoutine,
2.516159,1.649898,84.552915,2.365877,drivePathRoutine,
2.516512,1.652777,81.512088,2.377378,drivePathRoutine,
2.517024,1.655689,78.560872,2.388618,drivePathRoutine,
2.517697,1.658634,75.718577,2.399539,drivePathRoutine,
2.518532,1.661613,73.000373,2.410113,drivePathRoutine,
2.519529,1.664626,70.417299,2.420375,drivePathRoutine,
2.520688,1.667673,67.976528,2.430391,drivePathRoutine,
2.523487,1.673869,63.534025,2.449869,drivePathRoutine,
2.526919,1.680200,59.671750,2.468829,drivePathRoutine,
2.530965,1.686663,56.360144,2.487431,drivePathRoutine,
2.535595,1.693252,53.555959,2.505758,drivePathRoutine,
2.540772,1.699960,51.212676,2.523842,drivePathRoutine,
2.552572,1.713692,47.742592,2.559250,drivePathRoutine,
2.580000,1.742000,45.000000,2.625736,drivePathRoutine,
2.647595,1.812111,47.014984,2.755600,drivePathRoutine,
2.698434,1.866964,47.174732,2.836986,drivePathRoutine,
2.766002,1.939171,46.541340,2.930388,drivePathRoutine,
2.852043,2.028110,45.305785,3.032240,drivePathRoutine,
2.902120,2.078019,44.491205,3.085053,drivePathRoutine,
2.956806,2.130875,43.549030,3.138474,drivePathRoutine,
3.015941,2.186056,42.476569,3.192063,drivePathRoutine,
3.079307,2.242870,41.267807,3.245426,drivePathRoutine,
3.146635,2.300575,39.914022,3.299420,drivePathRoutine,
3.217611,2.358398,38.404324,3.355199,drivePathRoutine,
3.291888,2.415552,36.726237,3.412734,drivePathRoutine,
3.369094,2.471256,34.866463,3.471684,drivePathRoutine,
3.448839,2.524751,32.811954,3.531725,drivePathRoutine,
3.530723,2.575323,30.551490,3.592556,drivePathRoutine,
3.614348,2.622316,28.077924,3.653902,drivePathRoutine,
3.699322,2.665154,25.391273,3.715516,drivePathRoutine,
3.785270,2.703360,22.502716,3.777169,drivePathRoutine,
3.871844,2.736571,19.439373,3.838645,drivePathRoutine,
3.958726,2.764561,16.249400,3.899723,drivePathRoutine,
4.045644,2.787254,13.006582,3.960159,drivePathRoutine,
4.132374,2.804750,9.813305,4.019670,drivePathRoutine,
4.218753,2.817334,6.800905,4.077923,drivePathRoutine,
4.304682,2.825503,4.127074,4.134520,drivePathRoutine,
4.390141,2.829981,1.970944,4.189008,drivePathRoutine,
4.475195,2.831736,0.527210,4.240878,drivePathRoutine,
4.560000,2.832000,-0.000000,4.290154,drivePathRoutine,
4.644486,2.831951,-0.099749,4.338910,drivePathRoutine,
4.727439,2.831620,-0.388359,4.388721,drivePathRoutine,
4.807578,2.830770,-0.862426,4.439281,drivePathRoutine,
4.883878,2.829202,-1.532136,4.490021,drivePathRoutine,
4.955557,2.826760,-2.419428,4.540417,drivePathRoutine,
5.022054,2.823324,-3.557592,4.589992,drivePathRoutine,
5.138280,2.813158,-6.776797,4.685040,drivePathRoutine,
5.231873,2.798387,-11.663623,4.772666,drivePathRoutine,
5.270655,2.789293,-14.885085,4.813368,drivePathRoutine,
5.304602,2.779115,-18.654009,4.852095,drivePathRoutine,
5.334225,2.767919,-22.896597,4.889156,drivePathRoutine,
5.360120,2.755785,-27.409191,4.924873,drivePathRoutine,
5.382945,2.742807,-31.841022,4.958750,drivePathRoutine,
5.403408,2.729089,-35.740037,4.989609,drivePathRoutine,
5.440210,2.699883,-40.299522,5.043837,drivePathRoutine,
5.476474,2.669104,-39.496600,5.093914,drivePathRoutine,
5.517790,2.637679,-34.657097,5.147056,drivePathRoutine,
5.541852,2.621992,-31.557690,5.176719,drivePathRoutine,
5.568827,2.606444,-28.417304,5.207914,drivePathRoutine,
5.599061,2.591111,-25.448502,5.240235,drivePathRoutine,
5.632776,2.576053,-22.781239,5.273755,drivePathRoutine,
5.710785,2.546897,-18.572885,5.344058,drivePathRoutine,
5.801399,2.519012,-15.949167,5.417031,drivePathRoutine,
5.900000,2.492000,-15.000000,5.489261,drivePathRoutine,
5.999431,2.464877,-15.769365,5.558633,drivePathRoutine,
6.094945,2.436124,-17.992568,5.627761,drivePathRoutine,
6.183678,2.404377,-21.667529,5.698567,drivePathRoutine,
6.224890,2.387029,-24.067995,5.734465,drivePathRoutine,
6.263791,2.368543,-26.847947,5.770723,drivePathRoutine,
6.300289,2.348822,-29.997296,5.807452,drivePathRoutine,
6.334341,2.327787,-33.488107,5.844851,drivePathRoutine,
6.365945,2.305370,-37.269492,5.883012,drivePathRoutine,
6.395141,2.281520,-41.265323,5.921709,drivePathRoutine,
6.422001,2.256200,-45.376589,5.960550,drivePathRoutine,
6.446629,2.229384,-49.489160,5.999131,drivePathRoutine,
6.469157,2.201062,-53.485757,6.037045,drivePathRoutine,
6.489736,2.171235,-57.259094,6.073906,drivePathRoutine,
6.508537,2.139916,-60.722592,6.109361,drivePathRoutine,
6.525746,2.107130,-63.816244,6.143458,drivePathRoutine,
6.556167,2.037313,-68.786901,6.208800,drivePathRoutine,
6.582596,1.962201,-72.165712,6.271596,drivePathRoutine,
6.606583,1.882367,-74.167899,6.332574,drivePathRoutine,
6.629497,1.798529,-75.102714,6.391968,drivePathRoutine,
6.652396,1.711531,-75.310718,6.449744,drivePathRoutine,
6.675889,1.622335,-75.148314,6.507430,drivePathRoutine,
6.700000,1.532000,-75.000000,6.567899,drivePathRoutine,
6.723940,1.442113,-75.245647,6.632211,drivePathRoutine,
6.746291,1.355722,-75.771967,6.698718,drivePathRoutine,
6.766261,1.275385,-76.290812,6.765753,drivePathRoutine,
6.783801,1.202745,-76.473588,6.831984,drivePathRoutine,
6.814255,1.083277,-73.868970,6.958558,drivePathRoutine,
6.829504,1.036235,-69.677189,7.018512,drivePathRoutine,
6.837765,1.015596,-66.532691,7.048025,drivePathRoutine,
6.846709,0.996704,-62.639831,7.077634,drivePathRoutine,
6.856527,0.979407,-58.064322,7.107856,drivePathRoutine,
6.861822,0.971307,-55.572136,7.123349,drivePathRoutine,
6.867404,0.963542,-52.985457,7.139040,drivePathRoutine,
6.873294,0.956093,-50.342660,7.154846,drivePathRoutine,
6.879513,0.948936,-47.685217,7.170684,drivePathRoutine,
6.886079,0.942049,-45.055013,7.186468,drivePathRoutine,
6.893011,0.935409,-42.491618,7.202119,drivePathRoutine,
6.908037,0.922784,-37.698443,7.232629,drivePathRoutine,
6.924704,0.910884,-33.504024,7.262304,drivePathRoutine,
6.943094,0.899537,-29.994839,7.291613,drivePathRoutine,
