xPos,yPos,d,t,a,
0.000000,0.000000,0.000000,0.000000,driveSetOdometryRoutine,
0.000000,0.000000,0.000000,0.000000,drivePathRoutine,
0.093713,0.000000,0.000000,0.306125,drivePathRoutine,
0.187209,0.000000,0.000000,0.432676,drivePathRoutine,
0.280291,0.000000,0.000000,0.529425,drivePathRoutine,
0.372782,0.000000,0.000000,0.610559,drivePathRoutine,
0.464523,0.000000,0.000000,0.681559,drivePathRoutine,
0.555376,0.000000,0.000000,0.745235,drivePathRoutine,
0.645218,0.000000,0.000000,0.803255,drivePathRoutine,
0.733948,0.000000,0.000000,0.856708,drivePathRoutine,
0.821477,0.000000,0.000000,0.906354,drivePathRoutine,
0.907735,0.000000,0.000000,0.952751,drivePathRoutine,
0.992667,0.000000,0.000000,0.996327,drivePathRoutine,
1.076231,0.000000,0.000000,1.038186,drivePathRoutine,
1.158402,0.000000,0.000000,1.079271,drivePathRoutine,
1.239166,0.000000,0.000000,1.119653,drivePathRoutine,
1.318523,0.000000,0.000000,1.159332,drivePathRoutine,
1.396484,0.000000,0.000000,1.198312,drivePathRoutine,
1.473073,0.000000,0.000000,1.236607,drivePathRoutine,
1.548324,0.000000,0.000000,1.274232,drivePathRoutine,
1.622280,0.000000,0.000000,1.311210,drivePathRoutine,
1.694994,0.000000,0.000000,1.347567,drivePathRoutine,
1.766529,0.000000,0.000000,1.383335,drivePathRoutine,
1.836954,0.000000,0.000000,1.418547,drivePathRoutine,
1.906347,0.000000,0.000000,1.453244,drivePathRoutine,
1.974792,0.000000,0.000000,1.487466,drivePathRoutine,
2.042380,0.000000,0.000000,1.521260,drivePathRoutine,
2.109205,0.000000,0.000000,1.554673,drivePathRoutine,
2.175368,0.000000,0.000000,1.587754,drivePathRoutine,
2.240973,0.000000,0.000000,1.620556,drivePathRoutine,
2.306127,0.000000,0.000000,1.653134,drivePathRoutine,
2.370941,0.000000,0.000000,1.685541,drivePathRoutine,
2.435528,0.000000,0.000000,1.717834,drivePathRoutine,
2.500000,0.000000,0.000000,1.750070,drivePathRoutine,
2.564472,0.000000,0.000000,1.782306,drivePathRoutine,
2.629059,0.000000,0.000000,1.814599,drivePathRoutine,
2.693873,0.000000,0.000000,1.847007,drivePathRoutine,
2.759027,0.000000,0.000000,1.879584,drivePathRoutine,
2.824632,0.000000,0.000000,1.912386,drivePathRoutine,
2.890795,0.000000,0.000000,1.945468,drivePathRoutine,
2.957620,0.000000,0.000000,1.978880,drivePathRoutine,
3.025208,0.000000,0.000000,2.012674,drivePathRoutine,
3.093653,0.000000,0.000000,2.046897,drivePathRoutine,
3.163046,0.000000,0.000000,2.081593,drivePathRoutine,
3.233471,0.000000,0.000000,2.116806,drivePathRoutine,
3.305006,0.000000,0.000000,2.152573,drivePathRoutine,
3.377720,0.000000,0.000000,2.188930,drivePathRoutine,
3.451676,0.000000,0.000000,2.225908,drivePathRoutine,
3.526927,0.000000,0.000000,2.263533,drivePathRoutine,
3.603516,0.000000,0.000000,2.301828,drivePathRoutine,
3.681477,0.000000,0.000000,2.340809,drivePathRoutine,
3.760834,0.000000,0.000000,2.380487,drivePathRoutine,
3.841598,0.000000,0.000000,2.420869,drivePathRoutine,
3.923769,0.000000,0.000000,2.461955,drivePathRoutine,
4.007333,0.000000,0.000000,2.503814,drivePathRoutine,
4.092265,0.000000,0.000000,2.547389,drivePathRoutine,
4.178523,0.000000,0.000000,2.593787,drivePathRoutine,
4.266052,0.000000,0.000000,2.643433,drivePathRoutine,
4.354782,0.000000,0.000000,2.696885,drivePathRoutine,
4.444624,0.000000,0.000000,2.754905,drivePathRoutine,
4.535477,0.000000,0.000000,2.818581,drivePathRoutine,
4.627218,0.000000,0.000000,2.889582,drivePathRoutine,
4.719709,0.000000,0.000000,2.970715,drivePathRoutine,
4.812791,0.000000,0.000000,3.067464,drivePathRoutine,
4.906287,0.000000,0.000000,3.194015,drivePathRoutine,
5.000000,0.000000,0.000000,3.500140,drivePathRoutine,
