xPos,yPos,d,t,a,
1.200000,0.400000,0.000000,0.000000,driveSetOdometryRoutine,
1.200000,0.400000,0.000000,0.000000,drivePathRoutine,
1.263664,0.399969,-0.084039,0.206016,drivePathRoutine,
1.327300,0.399756,-0.323105,0.291319,drivePathRoutine,
1.390882,0.399201,-0.698379,0.356731,drivePathRoutine,
1.454384,0.398163,-1.191962,0.411822,drivePathRoutine,
1.581045,0.394182,-2.466383,0.504063,drivePathRoutine,
1.707083,0.387083,-4.017792,0.581582,drivePathRoutine,
1.832309,0.376428,-5.727504,0.649633,drivePathRoutine,
1.956544,0.362039,-7.486351,0.710915,drivePathRoutine,
2.079620,0.343979,-9.195068,0.767027,drivePathRoutine,
2.201381,0.322523,-10.764698,0.818996,drivePathRoutine,
2.321681,0.298133,-12.116447,0.867517,drivePathRoutine,
2.440388,0.271437,-13.180709,0.913072,drivePathRoutine,
2.557382,0.243201,-13.895276,0.956963,drivePathRoutine,
2.672556,0.214303,-14.203015,1.001296,drivePathRoutine,
2.785818,0.185712,-14.049425,1.047231,drivePathRoutine,
2.897090,0.158461,-13.380614,1.094913,drivePathRoutine,
3.006311,0.133619,-12.142396,1.144549,drivePathRoutine,
3.113431,0.112273,-10.281427,1.196454,drivePathRoutine,
3.218421,0.095496,-7.749584,1.251134,drivePathRoutine,
3.321265,0.084327,-4.512903,1.309415,drivePathRoutine,
3.421967,0.079744,-0.565872,1.372163,drivePathRoutine,
3.520547,0.082639,4.050190,1.439324,drivePathRoutine,
3.569053,0.087141,6.578964,1.474349,drivePathRoutine,
3.617044,0.093795,9.229826,1.510114,drivePathRoutine,
3.664528,0.102679,11.978433,1.546480,drivePathRoutine,
3.711515,0.113858,14.796657,1.583300,drivePathRoutine,
3.758014,0.127389,17.653560,1.620422,drivePathRoutine,
3.804038,0.143315,20.516687,1.657689,drivePathRoutine,
3.849597,0.161667,23.353512,1.694943,drivePathRoutine,
3.894708,0.182466,26.132883,1.732025,drivePathRoutine,
3.939385,0.205714,28.826286,1.768781,drivePathRoutine,
3.983644,0.231403,31.408788,1.805060,drivePathRoutine,
4.070983,0.289982,36.162215,1.875449,drivePathRoutine,
4.156885,0.357799,40.276959,1.942219,drivePathRoutine,
4.241532,0.434166,43.693792,2.004945,drivePathRoutine,
4.325128,0.518085,46.390014,2.064158,drivePathRoutine,
4.407900,0.608222,48.356368,2.120457,drivePathRoutine,
4.490099,0.702886,49.575311,2.174068,drivePathRoutine,
4.531068,0.751282,49.891627,2.199868,drivePathRoutine,
4.572000,0.800000,50.000000,2.224979,drivePathRoutine,
4.653511,0.897301,50.138273,2.273635,drivePathRoutine,
