xPos,yPos,d,t,a,
1.200000,2.300000,0.000000,0.000000,driveSetOdometryRoutine,
1.200000,2.300000,0.000000,0.000000,drivePathRoutine,
1.280975,2.299969,-0.064499,0.232343,drivePathRoutine,
1.359425,2.299775,-0.234940,0.326012,drivePathRoutine,
1.433772,2.299317,-0.484793,0.394778,drivePathRoutine,
1.503332,2.298551,-0.787582,0.449695,drivePathRoutine,
1.628936,2.296147,-1.398256,0.534768,drivePathRoutine,
1.743000,2.293000,-1.678378,0.601704,drivePathRoutine,
1.857064,2.289853,-1.398256,0.661906,drivePathRoutine,
1.982668,2.287449,-0.787582,0.726544,drivePathRoutine,
2.052228,2.286683,-0.484793,0.764252,drivePathRoutine,
2.126575,2.286225,-0.234940,0.807389,drivePathRoutine,
2.205025,2.286031,-0.064499,0.856898,drivePathRoutine,
2.286000,2.286000,0.000000,0.913719,drivePathRoutine,
2.367215,2.283874,-4.362151,0.979148,drivePathRoutine,
2.407423,2.279186,-9.168692,1.016363,drivePathRoutine,
2.427381,2.275459,-12.023841,1.036442,drivePathRoutine,
2.447230,2.270678,-15.089182,1.057314,drivePathRoutine,
2.466967,2.264762,-18.291574,1.078750,drivePathRoutine,
2.486589,2.257649,-21.557524,1.100540,drivePathRoutine,
2.506094,2.249291,-24.817022,1.122491,drivePathRoutine,
2.525486,2.239653,-28.007221,1.144430,drivePathRoutine,
2.544767,2.228718,-31.075265,1.166197,drivePathRoutine,
2.563944,2.216478,-33.979819,1.187653,drivePathRoutine,
2.583023,2.202940,-36.691247,1.208675,drivePathRoutine,
2.602014,2.188121,-39.190679,1.229216,drivePathRoutine,
2.639773,2.154770,-43.521748,1.269096,drivePathRoutine,
2.677322,2.116781,-46.969708,1.307771,drivePathRoutine,
2.752281,2.029020,-51.454316,1.382196,drivePathRoutine,
2.828003,1.930218,-53.171221,1.452604,drivePathRoutine,
2.866537,1.878731,-53.104804,1.486033,drivePathRoutine,
2.905732,1.827051,-52.440662,1.519290,drivePathRoutine,
2.945745,1.776101,-51.166392,1.553843,drivePathRoutine,
2.986726,1.726800,-49.250084,1.590090,drivePathRoutine,
3.028814,1.680036,-46.643827,1.628050,drivePathRoutine,
3.072138,1.636652,-43.290949,1.667843,drivePathRoutine,
3.116805,1.597418,-39.139907,1.709764,drivePathRoutine,
3.162905,1.563012,-34.167976,1.754296,drivePathRoutine,
3.186513,1.547801,-31.383186,1.777644,drivePathRoutine,
3.210501,1.533997,-28.415212,1.801572,drivePathRoutine,
3.234873,1.521651,-25.284976,1.825987,drivePathRoutine,
3.259629,1.510802,-22.021214,1.850785,drivePathRoutine,
3.284771,1.501477,-18.660302,1.875848,drivePathRoutine,
3.310295,1.493695,-15.245249,1.901051,drivePathRoutine,
3.336195,1.487461,-11.823866,1.926255,drivePathRoutine,
3.362466,1.482768,-8.446317,1.951318,drivePathRoutine,
3.389095,1.479596,-5.162395,1.976091,drivePathRoutine,
3.416072,1.477911,-2.018984,2.000421,drivePathRoutine,
3.443380,1.477664,0.941919,2.024154,drivePathRoutine,
3.471001,1.478790,3.684331,2.047130,drivePathRoutine,
3.527094,1.484828,8.400418,2.090594,drivePathRoutine,
3.584142,1.495182,11.951603,2.131303,drivePathRoutine,
3.700000,1.524000,15.000000,2.207411,drivePathRoutine,
3.814590,1.557140,18.356122,2.285096,drivePathRoutine,
3.868835,1.577116,22.333257,2.327759,drivePathRoutine,
3.894785,1.588431,24.846356,2.350276,drivePathRoutine,
3.919832,1.600775,27.683305,2.373778,drivePathRoutine,
3.943903,1.614241,30.815286,2.398300,drivePathRoutine,
3.966938,1.628909,34.203469,2.423682,drivePathRoutine,
3.988888,1.644847,37.798267,2.449742,drivePathRoutine,
4.009713,1.662112,41.540215,2.476296,drivePathRoutine,
4.029388,1.680749,45.362633,2.503160,drivePathRoutine,
4.047896,1.700795,49.195778,2.530152,drivePathRoutine,
4.065230,1.722273,52.971770,2.557098,drivePathRoutine,
4.081393,1.745201,56.629310,2.583834,drivePathRoutine,
4.096396,1.769584,60.117293,2.610209,drivePathRoutine,
4.110259,1.795421,63.396799,2.636091,drivePathRoutine,
4.123011,1.822701,66.441414,2.661363,drivePathRoutine,
4.134686,1.851405,69.236202,2.685945,drivePathRoutine,
4.154981,1.912980,74.062437,2.733319,drivePathRoutine,
4.171553,1.979864,77.909442,2.779009,drivePathRoutine,
4.184899,2.051679,80.868547,2.823458,drivePathRoutine,
4.195584,2.127967,83.046174,2.866854,drivePathRoutine,
4.204226,2.208205,84.541675,2.909245,drivePathRoutine,
4.211483,2.291820,85.438615,2.950601,drivePathRoutine,
4.218033,2.378199,85.803262,2.990858,drivePathRoutine,
4.224560,2.466712,85.686416,3.029942,drivePathRoutine,
4.231736,2.556720,85.126647,3.067782,drivePathRoutine,
4.240209,2.647591,84.154131,3.104320,drivePathRoutine,
4.250582,2.738716,82.794911,3.139716,drivePathRoutine,
4.263402,2.829522,81.075603,3.175316,drivePathRoutine,
4.279138,2.919491,79.028616,3.212337,drivePathRoutine,
4.298171,3.008167,76.697770,3.250868,drivePathRoutine,
