xPos,yPos,d,t,a,
0.500000,2.300000,0.000000,0.000000,driveSetOdometryRoutine,
0.500000,2.300000,0.000000,0.000000,drivePathRoutine,
0.576462,2.299934,-0.147487,0.309156,drivePathRoutine,
0.652786,2.299485,-0.571122,0.437017,drivePathRoutine,
0.728846,2.298306,-1.245066,0.534856,drivePathRoutine,
0.804528,2.296090,-2.145885,0.617020,drivePathRoutine,
0.879729,2.292567,-3.251651,0.689070,drivePathRoutine,
0.954356,2.287504,-4.541174,0.753868,drivePathRoutine,
1.028329,2.280702,-5.993385,0.813125,drivePathRoutine,
1.101577,2.271996,-7.586879,0.867973,drivePathRoutine,
1.174040,2.261252,-9.299630,0.919209,drivePathRoutine,
1.245665,2.248370,-11.108885,0.967427,drivePathRoutine,
1.316412,2.233275,-12.991229,1.014007,drivePathRoutine,
1.386246,2.215924,-14.922808,1.060265,drivePathRoutine,
1.455144,2.196299,-16.879676,1.106429,drivePathRoutine,
1.523089,2.174407,-18.838223,1.152457,drivePathRoutine,
1.590071,2.150279,-20.775635,1.198311,drivePathRoutine,
1.656089,2.123971,-22.670337,1.243956,drivePathRoutine,
1.721149,2.095557,-24.502364,1.289357,drivePathRoutine,
1.785263,2.065134,-26.253637,1.334479,drivePathRoutine,
1.848448,2.032815,-27.908121,1.379289,drivePathRoutine,
1.910728,1.998732,-29.451858,1.423754,drivePathRoutine,
1.972134,1.963032,-30.872887,1.467838,drivePathRoutine,
2.032698,1.925877,-32.161076,1.511503,drivePathRoutine,
2.092460,1.887442,-33.307878,1.554708,drivePathRoutine,
2.151463,1.847913,-34.306053,1.597411,drivePathRoutine,
2.209755,1.807489,-35.149355,1.639563,drivePathRoutine,
2.267385,1.766375,-35.832229,1.681113,drivePathRoutine,
2.324409,1.724785,-36.349515,1.722004,drivePathRoutine,
2.380882,1.682941,-36.696182,1.762177,drivePathRoutine,
2.436862,1.641068,-36.867089,1.801567,drivePathRoutine,
2.492412,1.599394,-36.856795,1.840447,drivePathRoutine,
2.547594,1.558152,-36.659418,1.879363,drivePathRoutine,
2.602471,1.517574,-36.268545,1.918553,drivePathRoutine,
2.657108,1.477892,-35.677225,1.957994,drivePathRoutine,
2.711569,1.439336,-34.878045,1.997669,drivePathRoutine,
2.765921,1.402135,-33.863317,2.037565,drivePathRoutine,
2.820227,1.366510,-32.625402,2.077679,drivePathRoutine,
2.874553,1.332678,-31.157201,2.118015,drivePathRoutine,
2.928961,1.300850,-29.452832,2.158583,drivePathRoutine,
3.038268,1.244000,-25.323709,2.240455,drivePathRoutine,
3.093285,1.219349,-22.902262,2.281826,drivePathRoutine,
3.148618,1.197443,-20.253819,2.323503,drivePathRoutine,
3.204320,1.178433,-17.394960,2.365499,drivePathRoutine,
3.260440,1.162459,-14.350063,2.407864,drivePathRoutine,
3.317022,1.149642,-11.151557,2.450845,drivePathRoutine,
3.374108,1.140086,-7.839350,2.494533,drivePathRoutine,
3.431734,1.133874,-4.459342,2.538697,drivePathRoutine,
3.489932,1.131071,-1.061087,2.583097,drivePathRoutine,
3.548728,1.131718,2.305075,2.627488,drivePathRoutine,
3.608143,1.135831,5.590996,2.671628,drivePathRoutine,
3.668192,1.143405,8.753318,2.715592,drivePathRoutine,
3.728883,1.154406,11.755324,2.759623,drivePathRoutine,
3.790219,1.168774,14.567857,2.803771,drivePathRoutine,
3.852193,1.186418,17.169338,2.848035,drivePathRoutine,
3.914793,1.207220,19.545051,2.893235,drivePathRoutine,
3.977998,1.231026,21.685941,2.941144,drivePathRoutine,
4.041778,1.257654,23.587170,2.993116,drivePathRoutine,
4.106096,1.286885,25.246611,3.049963,drivePathRoutine,
4.170906,1.318463,26.663395,3.112815,drivePathRoutine,
4.236150,1.352097,27.836556,3.183374,drivePathRoutine,
4.301763,1.387459,28.763770,3.264481,drivePathRoutine,
4.367669,1.424177,29.440127,3.361660,drivePathRoutine,
4.433780,1.461842,29.856875,3.489202,drivePathRoutine,
4.500000,1.500000,30.000000,3.798287,drivePathRoutine,
4.500000,1.500000,30.000000,3.798287,drivePathRoutine,
4.572313,1.542118,30.645855,4.121715,drivePathRoutine,
4.643198,1.585472,32.430246,4.254872,drivePathRoutine,
4.711489,1.631047,35.151447,4.356049,drivePathRoutine,
4.776292,1.679574,38.619251,4.440390,drivePathRoutine,
4.836962,1.731548,42.633047,4.513938,drivePathRoutine,
4.893085,1.787247,46.974824,4.579949,drivePathRoutine,
4.944457,1.846754,51.417356,4.640757,drivePathRoutine,
4.991068,1.909973,55.742813,4.698828,drivePathRoutine,
5.033078,1.976649,59.762844,4.755663,drivePathRoutine,
5.070800,2.046389,63.331441,4.811291,drivePathRoutine,
5.104679,2.118680,66.346762,4.865430,drivePathRoutine,
5.135274,2.192909,68.743589,4.917809,drivePathRoutine,
5.163238,2.268379,70.480882,4.968150,drivePathRoutine,
5.189299,2.344335,71.528591,5.016684,drivePathRoutine,
5.214237,2.419978,71.856178,5.065356,drivePathRoutine,
5.238869,2.494485,71.423868,5.115751,drivePathRoutine,
5.264027,2.567028,70.177159,5.167800,drivePathRoutine,
5.290538,2.636798,68.045608,5.221471,drivePathRoutine,
5.319208,2.703018,64.948430,5.276834,drivePathRoutine,
5.350796,2.764965,60.811439,5.334147,drivePathRoutine,
5.367905,2.794130,58.339533,5.363710,drivePathRoutine,
5.386001,2.821990,55.600740,5.394025,drivePathRoutine,
5.405156,2.848478,52.605595,5.425258,drivePathRoutine,
5.425438,2.873536,49.373985,5.457456,drivePathRoutine,
5.446909,2.897110,45.936390,5.490486,drivePathRoutine,
5.469622,2.919158,42.334189,5.524174,drivePathRoutine,
5.493622,2.939644,38.618630,5.558335,drivePathRoutine,
5.518945,2.958542,34.848358,5.592770,drivePathRoutine,
5.545617,2.975838,31.085720,5.627275,drivePathRoutine,
5.573657,2.991526,27.392425,5.661643,drivePathRoutine,
5.603069,3.005613,23.825363,5.695669,drivePathRoutine,
5.633850,3.018116,20.433331,5.729158,drivePathRoutine,
5.665981,3.029066,17.255125,5.761924,drivePathRoutine,
5.699433,3.038507,14.319093,5.793923,drivePathRoutine,
5.734165,3.046496,11.643925,5.826604,drivePathRoutine,
5.770119,3.053104,9.240274,5.861718,drivePathRoutine,
5.845397,3.062538,5.262246,5.941660,drivePathRoutine,
5.924520,3.067687,2.387575,6.039985,drivePathRoutine,
6.006482,3.069698,0.616701,6.171721,drivePathRoutine,
6.090000,3.070000,0.000000,6.494828,drivePathRoutine,
6.090000,3.070000,0.000000,6.494828,drivePathRoutine,
6.176740,3.069543,-0.897288,6.824110,drivePathRoutine,
6.261720,3.066517,-3.459461,6.958206,drivePathRoutine,
6.343496,3.058815,-7.586189,7.058203,drivePathRoutine,
6.382820,3.052680,-10.218094,7.100749,drivePathRoutine,
6.420946,3.044798,-13.214017,7.139658,drivePathRoutine,
6.457781,3.035031,-16.552837,7.176454,drivePathRoutine,
6.493248,3.023269,-20.201382,7.213276,drivePathRoutine,
6.527289,3.009424,-24.112110,7.251085,drivePathRoutine,
