xPos,yPos,d,t,a,
1.200000,2.900000,0.000000,0.000000,driveSetOdometryRoutine,
1.200000,2.900000,0.000000,0.000000,drivePathRoutine,
1.317432,2.900000,0.000000,0.279800,drivePathRoutine,
1.423438,2.900000,0.000000,0.385951,drivePathRoutine,
1.515967,2.900000,0.000000,0.458960,drivePathRoutine,
1.600000,2.900000,0.000000,0.516398,drivePathRoutine,
1.684033,2.900000,0.000000,0.568987,drivePathRoutine,
1.776563,2.900000,0.000000,0.628396,drivePathRoutine,
1.882568,2.900000,0.000000,0.706881,drivePathRoutine,
2.000000,2.900000,0.000000,0.816835,drivePathRoutine,
2.030043,2.899636,-2.041625,0.852180,drivePathRoutine,
2.045144,2.898801,-4.416643,0.871886,drivePathRoutine,
2.060338,2.897227,-7.513808,0.893541,drivePathRoutine,
2.075657,2.894716,-11.171336,0.917244,drivePathRoutine,
2.091128,2.891094,-15.209368,0.942471,drivePathRoutine,
2.106780,2.886210,-19.441607,0.968721,drivePathRoutine,
2.122641,2.879935,-23.692203,0.995558,drivePathRoutine,
2.138737,2.872159,-27.812183,1.022609,drivePathRoutine,
2.155094,2.862794,-31.690011,1.049559,drivePathRoutine,
2.171737,2.851771,-35.254028,1.076147,drivePathRoutine,
2.188689,2.839039,-38.468079,1.102168,drivePathRoutine,
2.205975,2.824565,-41.323450,1.127557,drivePathRoutine,
2.223617,2.808332,-43.830113,1.152441,drivePathRoutine,
2.260052,2.770605,-47.887004,1.201276,drivePathRoutine,
2.298154,2.726030,-50.850644,1.249367,drivePathRoutine,
2.338069,2.674992,-52.928799,1.296909,drivePathRoutine,
2.379927,2.618068,-54.289768,1.343871,drivePathRoutine,
2.423841,2.555991,-55.058235,1.390113,drivePathRoutine,
2.469911,2.489631,-55.321221,1.435452,drivePathRoutine,
2.518215,2.419966,-55.135628,1.479694,drivePathRoutine,
2.568818,2.348052,-54.534705,1.522653,drivePathRoutine,
2.621766,2.275000,-53.533013,1.564161,drivePathRoutine,
2.677086,2.201948,-52.130226,1.605704,drivePathRoutine,
2.734789,2.130034,-50.314342,1.649402,drivePathRoutine,
2.794863,2.060369,-48.065010,1.695988,drivePathRoutine,
2.857280,1.994009,-45.357845,1.745769,drivePathRoutine,
2.921991,1.931932,-42.170683,1.799046,drivePathRoutine,
2.988927,1.875008,-38.492787,1.855707,drivePathRoutine,
3.057997,1.823970,-34.337426,1.915251,drivePathRoutine,
3.129090,1.779395,-29.756942,1.977044,drivePathRoutine,
3.202074,1.741668,-24.856889,2.040278,drivePathRoutine,
3.239227,1.725435,-22.336622,2.072184,drivePathRoutine,
