xPos,yPos,d,t,a,
0.000000,0.000000,0.000000,0.000000,driveSetOdometryRoutine,
0.000000,0.000000,0.000000,0.000000,drivePathRoutine,
0.070302,0.000009,0.021696,0.296441,drivePathRoutine,
0.140540,0.000071,0.086221,0.419136,drivePathRoutine,
0.210653,0.000237,0.192902,0.513144,drivePathRoutine,
0.280579,0.000559,0.341281,0.592221,drivePathRoutine,
0.350260,0.001085,0.531107,0.661687,drivePathRoutine,
0.419638,0.001864,0.762323,0.724263,drivePathRoutine,
0.488657,0.002942,1.035060,0.781563,drivePathRoutine,
0.557261,0.004366,1.349627,0.834634,drivePathRoutine,
0.625398,0.006179,1.706510,0.884203,drivePathRoutine,
0.693015,0.008425,2.106368,0.930797,drivePathRoutine,
0.760062,0.011146,2.550025,0.974814,drivePathRoutine,
0.826490,0.014384,3.038475,1.016560,drivePathRoutine,
0.892250,0.018177,3.572874,1.056282,drivePathRoutine,
0.957297,0.022565,4.154542,1.094670,drivePathRoutine,
1.021586,0.027585,4.784959,1.132548,drivePathRoutine,
1.085072,0.033274,5.465766,1.170177,drivePathRoutine,
1.209468,0.046797,6.985881,1.244651,drivePathRoutine,
1.330163,0.063406,8.731024,1.318027,drivePathRoutine,
1.446854,0.083350,10.719483,1.390279,drivePathRoutine,
1.559259,0.106867,12.971219,1.461420,drivePathRoutine,
1.667115,0.134175,15.507054,1.531497,drivePathRoutine,
1.770180,0.165475,18.347378,1.600593,drivePathRoutine,
1.868230,0.200954,21.510212,1.668824,drivePathRoutine,
1.961060,0.240784,25.008532,1.736334,drivePathRoutine,
2.048484,0.285118,28.846823,1.803283,drivePathRoutine,
2.130334,0.334097,33.017125,1.869841,drivePathRoutine,
2.206460,0.387846,37.495139,1.936171,drivePathRoutine,
2.276729,0.446476,42.237383,2.002441,drivePathRoutine,
2.341024,0.510084,47.180616,2.069132,drivePathRoutine,
2.370900,0.543781,49.703033,2.102780,drivePathRoutine,
2.399247,0.578752,52.244556,2.136549,drivePathRoutine,
2.426055,0.615006,54.793513,2.170394,drivePathRoutine,
2.451314,0.652551,57.338095,2.204271,drivePathRoutine,
2.475018,0.691392,59.866664,2.238135,drivePathRoutine,
2.497158,0.731535,62.368046,2.271943,drivePathRoutine,
2.536727,0.815749,67.248410,2.339599,drivePathRoutine,
2.569984,0.905222,71.907944,2.407777,drivePathRoutine,
2.596906,0.999974,76.294523,2.476769,drivePathRoutine,
2.617487,1.100011,80.375977,2.546792,drivePathRoutine,
2.631733,1.205327,84.138140,2.618085,drivePathRoutine,
2.639662,1.315906,87.581313,2.690894,drivePathRoutine,
2.641309,1.431722,90.716255,2.765460,drivePathRoutine,
2.636719,1.552734,93.560481,2.842011,drivePathRoutine,
2.625950,1.678896,96.135258,2.920752,drivePathRoutine,
2.618270,1.743890,97.328713,2.960999,drivePathRoutine,
2.609072,1.810148,98.463379,3.001858,drivePathRoutine,
2.598368,1.877662,99.542096,3.043348,drivePathRoutine,
2.586168,1.946423,100.567638,3.085486,drivePathRoutine,
2.572485,2.016419,101.542698,3.128285,drivePathRoutine,
2.557331,2.087641,102.469874,3.171759,drivePathRoutine,
2.540719,2.160078,103.351657,3.215919,drivePathRoutine,
2.522665,2.233717,104.190430,3.260773,drivePathRoutine,
2.503181,2.308547,104.988458,3.306331,drivePathRoutine,
2.482284,2.384555,105.747894,3.352599,drivePathRoutine,
2.459990,2.461727,106.470775,3.399580,drivePathRoutine,
2.436315,2.540050,107.159028,3.447279,drivePathRoutine,
2.411276,2.619509,107.814470,3.495698,drivePathRoutine,
2.384892,2.700090,108.438813,3.544838,drivePathRoutine,
2.357179,2.781778,109.033668,3.594698,drivePathRoutine,
2.328158,2.864556,109.600551,3.645277,drivePathRoutine,
2.297847,2.948408,110.140886,3.696572,drivePathRoutine,
2.266268,3.033319,110.656010,3.748579,drivePathRoutine,
2.233439,3.119270,111.147179,3.801294,drivePathRoutine,
2.199383,3.206244,111.615569,3.854711,drivePathRoutine,
2.164120,3.294223,112.062287,3.908823,drivePathRoutine,
2.127673,3.383189,112.488369,3.963624,drivePathRoutine,
2.090064,3.473123,112.894787,4.019104,drivePathRoutine,
2.051317,3.564007,113.282452,4.075254,drivePathRoutine,
2.011455,3.655819,113.652220,4.132066,drivePathRoutine,
1.970501,3.748541,114.004893,4.189528,drivePathRoutine,
1.928480,3.842152,114.341222,4.247629,drivePathRoutine,
1.885417,3.936632,114.661912,4.306357,drivePathRoutine,
1.841336,4.031959,114.967625,4.365700,drivePathRoutine,
1.796265,4.128113,115.258980,4.425646,drivePathRoutine,
1.750227,4.225071,115.536559,4.486179,drivePathRoutine,
1.703251,4.322812,115.800906,4.547287,drivePathRoutine,
1.655362,4.421313,116.052534,4.608954,drivePathRoutine,
1.606587,4.520552,116.291921,4.671165,drivePathRoutine,
1.556954,4.620507,116.519515,4.733906,drivePathRoutine,
1.506491,4.721153,116.735738,4.797159,drivePathRoutine,
1.455226,4.822468,116.940984,4.860909,drivePathRoutine,
1.403187,4.924428,117.135621,4.925139,drivePathRoutine,
1.350402,5.027008,117.319995,4.989831,drivePathRoutine,
1.296902,5.130186,117.494428,5.054968,drivePathRoutine,
1.242713,5.233937,117.659221,5.120532,drivePathRoutine,
1.187868,5.338235,117.814657,5.186505,drivePathRoutine,
1.132394,5.443057,117.960998,5.252868,drivePathRoutine,
1.076322,5.548377,118.098488,5.319603,drivePathRoutine,
1.019683,5.654171,118.227354,5.386690,drivePathRoutine,
0.962505,5.760412,118.347806,5.454110,drivePathRoutine,
0.904821,5.867076,118.460041,5.521843,drivePathRoutine,
0.846661,5.974137,118.564238,5.589871,drivePathRoutine,
0.788056,6.081568,118.660564,5.658172,drivePathRoutine,
0.729036,6.189345,118.749169,5.726726,drivePathRoutine,
0.669634,6.297441,118.830194,5.795514,drivePathRoutine,
0.609880,6.405829,118.903765,5.864513,drivePathRoutine,
0.549806,6.514485,118.969994,5.933705,drivePathRoutine,
0.489444,6.623380,119.028985,6.003067,drivePathRoutine,
0.428826,6.732489,119.080827,6.072579,drivePathRoutine,
0.367983,6.841785,119.125599,6.142219,drivePathRoutine,
0.306947,6.951242,119.163370,6.211967,drivePathRoutine,
0.245751,7.060833,119.194196,6.281800,drivePathRoutine,
0.184425,7.170531,119.218123,6.351698,drivePathRoutine,
0.123004,7.280309,119.235189,6.421639,drivePathRoutine,
0.061518,7.390141,119.245418,6.491600,drivePathRoutine,
0.000000,7.500000,119.248826,6.561562,drivePathRoutine,
-0.061518,7.609859,119.245418,6.631523,drivePathRoutine,
-0.123004,7.719691,119.235189,6.701485,drivePathRoutine,
-0.184425,7.829469,119.218123,6.771425,drivePathRoutine,
-0.245751,7.939167,119.194196,6.841323,drivePathRoutine,
-0.306947,8.048758,119.163370,6.911157,drivePathRoutine,
-0.367983,8.158215,119.125599,6.980904,drivePathRoutine,
-0.428826,8.267511,119.080827,7.050545,drivePathRoutine,
-0.489444,8.376620,119.028985,7.120057,drivePathRoutine,
-0.549806,8.485515,118.969994,7.189419,drivePathRoutine,
-0.609880,8.594171,118.903765,7.258610,drivePathRoutine,
-0.669634,8.702559,118.830194,7.327610,drivePathRoutine,
-0.729036,8.810655,118.749169,7.396397,drivePathRoutine,
-0.788056,8.918432,118.660564,7.464952,drivePathRoutine,
-0.846661,9.025863,118.564238,7.533253,drivePathRoutine,
-0.904821,9.132924,118.460041,7.601280,drivePathRoutine,
-0.962505,9.239588,118.347806,7.669014,drivePathRoutine,
-1.019683,9.345829,118.227354,7.736434,drivePathRoutine,
-1.076322,9.451623,118.098488,7.803521,drivePathRoutine,
-1.132394,9.556943,117.960998,7.870256,drivePathRoutine,
-1.187868,9.661765,117.814657,7.936619,drivePathRoutine,
-1.242713,9.766063,117.659221,8.002592,drivePathRoutine,
-1.296902,9.869814,117.494428,8.068156,drivePathRoutine,
-1.350402,9.972992,117.319995,8.133293,drivePathRoutine,
-1.403187,10.075572,117.135621,8.197985,drivePathRoutine,
-1.455226,10.177532,116.940984,8.262214,drivePathRoutine,
-1.506491,10.278847,116.735738,8.325964,drivePathRoutine,
-1.556954,10.379493,116.519515,8.389218,drivePathRoutine,
-1.606587,10.479448,116.291921,8.451958,drivePathRoutine,
-1.655362,10.578687,116.052534,8.514170,drivePathRoutine,
-1.703251,10.677188,115.800906,8.575837,drivePathRoutine,
-1.750227,10.774929,115.536559,8.636945,drivePathRoutine,
-1.796265,10.871887,115.258980,8.697478,drivePathRoutine,
-1.841336,10.968041,114.967625,8.757423,drivePathRoutine,
-1.885417,11.063368,114.661912,8.816766,drivePathRoutine,
-1.928480,11.157848,114.341222,8.875495,drivePathRoutine,
-1.970501,11.251459,114.004893,8.933596,drivePathRoutine,
-2.011455,11.344181,113.652220,8.991058,drivePathRoutine,
-2.051317,11.435993,113.282452,9.047869,drivePathRoutine,
-2.090064,11.526877,112.894787,9.104020,drivePathRoutine,
-2.127673,11.616811,112.488369,9.159500,drivePathRoutine,
-2.164120,11.705777,112.062287,9.214300,drivePathRoutine,
-2.199383,11.793756,111.615569,9.268412,drivePathRoutine,
-2.233439,11.880730,111.147179,9.321829,drivePathRoutine,
-2.266268,11.966681,110.656010,9.374544,drivePathRoutine,
-2.297847,12.051592,110.140886,9.426552,drivePathRoutine,
-2.328158,12.135444,109.600551,9.477846,drivePathRoutine,
-2.357179,12.218222,109.033668,9.528425,drivePathRoutine,
-2.384892,12.299910,108.438813,9.578285,drivePathRoutine,
-2.411276,12.380491,107.814470,9.627425,drivePathRoutine,
-2.436315,12.459950,107.159028,9.675844,drivePathRoutine,
-2.459990,12.538273,106.470775,9.723543,drivePathRoutine,
-2.482284,12.615445,105.747894,9.770525,drivePathRoutine,
-2.503181,12.691453,104.988458,9.816792,drivePathRoutine,
-2.522665,12.766283,104.190430,9.862350,drivePathRoutine,
-2.540719,12.839922,103.351657,9.907205,drivePathRoutine,
-2.557331,12.912359,102.469874,9.951365,drivePathRoutine,
-2.572485,12.983581,101.542698,9.994838,drivePathRoutine,
-2.586168,13.053577,100.567638,10.037638,drivePathRoutine,
