xPos,yPos,d,t,a,
0.900000,0.600000,15.000000,0.000000,driveSetOdometryRoutine,
0.900000,0.600000,15.000000,0.000000,drivePathRoutine,
1.014956,0.631172,15.507860,0.260886,drivePathRoutine,
1.128295,0.663979,16.921226,0.368083,drivePathRoutine,
1.238690,0.699742,19.104096,0.449217,drivePathRoutine,
1.345117,0.739462,21.937501,0.516438,drivePathRoutine,
1.446828,0.783841,25.298359,0.574561,drivePathRoutine,
1.543334,0.833309,29.046255,0.628800,drivePathRoutine,
1.634378,0.888047,33.019361,0.682958,drivePathRoutine,
1.719920,0.948008,37.040077,0.736990,drivePathRoutine,
1.800111,1.012943,40.928313,0.789790,drivePathRoutine,
1.875271,1.082425,44.517380,0.840289,drivePathRoutine,
1.945871,1.155874,47.666622,0.887466,drivePathRoutine,
2.012510,1.232576,50.266981,0.931287,drivePathRoutine,
2.075891,1.311710,52.239276,0.972380,drivePathRoutine,
2.136804,1.392374,53.527635,1.011151,drivePathRoutine,
2.196100,1.473603,54.091417,1.048985,drivePathRoutine,
2.254673,1.554398,53.898406,1.087760,drivePathRoutine,
2.313437,1.633746,52.921277,1.128312,drivePathRoutine,
2.373303,1.710647,51.138717,1.170881,drivePathRoutine,
2.435160,1.784135,48.542247,1.215847,drivePathRoutine,
2.499854,1.853302,45.149110,1.263835,drivePathRoutine,
2.568162,1.917324,41.019667,1.315567,drivePathRoutine,
2.640775,1.975483,36.274105,1.370899,drivePathRoutine,
2.678883,2.002173,33.726268,1.399645,drivePathRoutine,
2.718275,2.027189,31.099375,1.428879,drivePathRoutine,
2.759005,2.050481,28.425250,1.458454,drivePathRoutine,
2.801114,2.072009,25.737208,1.488226,drivePathRoutine,
2.844635,2.091749,23.068691,1.518043,drivePathRoutine,
2.889590,2.109686,20.451906,1.547758,drivePathRoutine,
2.983828,2.140162,15.489290,1.606163,drivePathRoutine,
3.083760,2.163607,11.044786,1.662400,drivePathRoutine,
3.189098,2.180438,7.252626,1.715813,drivePathRoutine,
3.299318,2.191345,4.195727,1.766629,drivePathRoutine,
3.413636,2.197313,1.928150,1.815266,drivePathRoutine,
3.530986,2.199648,0.502525,1.861839,drivePathRoutine,
3.650000,2.200000,0.000000,1.906256,drivePathRoutine,
3.768976,2.199997,-0.003689,1.948285,drivePathRoutine,
3.886064,2.199979,-0.015874,1.987667,drivePathRoutine,
3.999693,2.199927,-0.038711,2.024248,drivePathRoutine,
4.108610,2.199822,-0.075090,2.057977,drivePathRoutine,
4.211862,2.199641,-0.128791,2.088870,drivePathRoutine,
4.308775,2.199364,-0.204673,2.117055,drivePathRoutine,
4.398929,2.198965,-0.308881,2.142990,drivePathRoutine,
4.482139,2.198421,-0.449023,2.167003,drivePathRoutine,
4.558430,2.197707,-0.634216,2.189115,drivePathRoutine,
4.628019,2.196799,-0.874844,2.209547,drivePathRoutine,
4.748764,2.194305,-1.564542,2.246069,drivePathRoutine,
4.849054,2.190755,-2.570600,2.277550,drivePathRoutine,
4.935193,2.185989,-3.808512,2.305526,drivePathRoutine,
5.014405,2.179877,-4.980145,2.331321,drivePathRoutine,
5.094132,2.172331,-5.738773,2.356677,drivePathRoutine,
5.181330,2.163317,-5.982233,2.384569,drivePathRoutine,
5.281761,2.152863,-5.863952,2.417829,drivePathRoutine,
5.399296,2.141071,-5.590187,2.458470,drivePathRoutine,
5.464995,2.134728,-5.442612,2.482092,drivePathRoutine,
5.535204,2.128126,-5.304281,2.508141,drivePathRoutine,
5.609561,2.121304,-5.183681,2.536733,drivePathRoutine,
5.687452,2.114307,-5.087858,2.567929,drivePathRoutine,
5.767992,2.107186,-5.023790,2.601713,drivePathRoutine,
5.850000,2.100000,-5.000000,2.637968,drivePathRoutine,
5.932028,2.092531,-5.601546,2.676461,drivePathRoutine,
6.012691,2.083536,-7.304489,2.717012,drivePathRoutine,
6.090866,2.071756,-10.007397,2.759607,drivePathRoutine,
6.165681,2.056211,-13.639506,2.804479,drivePathRoutine,
6.236494,2.036175,-18.118814,2.852224,drivePathRoutine,
6.270259,2.024311,-20.638159,2.877288,drivePathRoutine,
6.302878,2.011158,-23.315020,2.902903,drivePathRoutine,
6.334329,1.996688,-26.121415,2.928926,drivePathRoutine,
6.364600,1.980888,-29.024506,2.955212,drivePathRoutine,
6.393689,1.963752,-31.987403,2.981619,drivePathRoutine,
6.421606,1.945291,-34.970498,3.008000,drivePathRoutine,
6.448369,1.925520,-37.933196,3.034215,drivePathRoutine,
6.474005,1.904470,-40.835814,3.060121,drivePathRoutine,
6.498548,1.882177,-43.641382,3.085585,drivePathRoutine,
6.522044,1.858688,-46.317113,3.110475,drivePathRoutine,
6.566099,1.808347,-51.174085,3.157918,drivePathRoutine,
6.606652,1.753966,-55.251627,3.201876,drivePathRoutine,
6.644273,1.696167,-58.472809,3.242647,drivePathRoutine,
6.679607,1.635652,-60.815432,3.280942,drivePathRoutine,
6.713350,1.573182,-62.286377,3.317162,drivePathRoutine,
6.746236,1.509563,-62.901739,3.351530,drivePathRoutine,
6.779016,1.445620,-62.674955,3.385202,drivePathRoutine,
6.812444,1.382181,-61.612381,3.419955,drivePathRoutine,
6.847256,1.320059,-59.715544,3.456696,drivePathRoutine,
6.884152,1.260029,-56.989830,3.495720,drivePathRoutine,
6.923782,1.202810,-53.459553,3.537545,drivePathRoutine,
6.966724,1.149046,-49.188020,3.582661,drivePathRoutine,
7.013470,1.099285,-44.297672,3.630785,drivePathRoutine,
7.038394,1.076046,-41.677916,3.655732,drivePathRoutine,
7.064405,1.053962,-38.980928,3.681061,drivePathRoutine,
7.091530,1.033064,-36.240241,3.706639,drivePathRoutine,
7.119790,1.013376,-33.491350,3.732331,drivePathRoutine,
7.149195,0.994912,-30.770308,3.757995,drivePathRoutine,
7.179746,0.977675,-28.112283,3.783489,drivePathRoutine,
7.211433,0.961655,-25.550273,3.808669,drivePathRoutine,
7.244235,0.946832,-23.114131,3.833390,drivePathRoutine,
7.313044,0.920629,-18.720188,3.880704,drivePathRoutine,
7.385762,0.898634,-15.095566,3.925184,drivePathRoutine,
7.461769,0.880185,-12.360318,3.967248,drivePathRoutine,
7.540215,0.864368,-10.619036,4.007201,drivePathRoutine,
7.620000,0.850000,-10.000000,4.047539,drivePathRoutine,
7.699764,0.836318,-9.206053,4.090797,drivePathRoutine,
7.778039,0.825049,-6.925959,4.136924,drivePathRoutine,
7.853516,0.818181,-3.194682,4.185883,drivePathRoutine,
7.889849,0.816901,-0.765904,4.211531,drivePathRoutine,
7.925078,0.817272,2.055329,4.238099,drivePathRoutine,
7.959091,0.819427,5.281482,4.265782,drivePathRoutine,
7.991787,0.823474,8.920433,4.294667,drivePathRoutine,
8.023075,0.829500,12.970862,4.324638,drivePathRoutine,
8.052874,0.837568,17.417120,4.355550,drivePathRoutine,
8.081112,0.847725,22.224384,4.387240,drivePathRoutine,
8.094626,0.853595,24.746424,4.403341,drivePathRoutine,
8.107728,0.859994,27.335475,4.419570,drivePathRoutine,
8.120410,0.866924,29.980909,4.435901,drivePathRoutine,
8.132668,0.874383,32.670953,4.452311,drivePathRoutine,
8.144495,0.882369,35.392940,4.468774,drivePathRoutine,
8.155887,0.890879,38.133620,4.485263,drivePathRoutine,
8.166840,0.899911,40.879517,4.501754,drivePathRoutine,
8.177350,0.909457,43.617296,4.518222,drivePathRoutine,
8.187414,0.919513,46.334133,4.534644,drivePathRoutine,
8.197028,0.930072,49.018042,4.550997,drivePathRoutine,
8.206191,0.941126,51.658153,4.567260,drivePathRoutine,
8.214901,0.952667,54.244924,4.583414,drivePathRoutine,
8.230955,0.977169,59.227635,4.615301,drivePathRoutine,
8.245185,1.003496,63.919655,4.646579,drivePathRoutine,
8.257591,1.031550,68.297284,4.677171,drivePathRoutine,
8.268180,1.061225,72.355950,4.707028,drivePathRoutine,
8.276965,1.092404,76.105369,4.736128,drivePathRoutine,
8.283964,1.124961,79.564813,4.764474,drivePathRoutine,
8.289203,1.158762,82.759146,4.792083,drivePathRoutine,
8.292710,1.193667,85.715864,4.818986,drivePathRoutine,
8.294520,1.229528,88.463071,4.845226,drivePathRoutine,
8.293206,1.303510,93.437423,4.895929,drivePathRoutine,
8.285618,1.379448,97.884139,4.944650,drivePathRoutine,
8.272169,1.456047,101.979208,4.991874,drivePathRoutine,
8.253317,1.532007,105.876440,5.038103,drivePathRoutine,
8.229556,1.606053,109.714929,5.083837,drivePathRoutine,
8.201407,1.676965,113.626918,5.129560,drivePathRoutine,
8.169403,1.743613,117.744564,5.175716,drivePathRoutine,
8.134084,1.804980,122.204209,5.222693,drivePathRoutine,
8.095983,1.860200,127.145568,5.270788,drivePathRoutine,
8.076053,1.885282,129.839118,5.295327,drivePathRoutine,
8.055619,1.908584,132.700826,5.320202,drivePathRoutine,
8.034743,1.930054,135.741319,5.345403,drivePathRoutine,
