xPos,yPos,d,t,a,
0.000000,0.000000,180.000000,0.000000,driveSetOdometryRoutine,
0.000000,0.000000,180.000000,0.500000,intakeLowerRoutine,
0.000000,0.000000,180.000000,1.000000,shooterVisionRoutine,
0.000000,0.000000,180.000000,1.800000,timedRoutine,
0.000000,0.000000,180.000000,2.300000,indexerFeedAllRoutine,
0.000000,0.000000,180.000000,2.300000,drivePathRoutine,
0.086631,0.000145,-179.850582,2.651793,drivePathRoutine,
0.178380,-0.000335,178.858674,2.804808,drivePathRoutine,
0.272401,-0.005321,174.404497,2.925450,drivePathRoutine,
0.317809,-0.011264,170.417637,2.981656,drivePathRoutine,
0.339572,-0.015428,167.832511,3.011007,drivePathRoutine,
0.360493,-0.020507,164.775911,3.041192,drivePathRoutine,
0.380416,-0.026584,161.184229,3.072265,drivePathRoutine,
0.399193,-0.033734,156.996409,3.104355,drivePathRoutine,
0.416687,-0.042021,152.166221,3.137713,drivePathRoutine,
0.424914,-0.046610,149.504420,3.155001,drivePathRoutine,
0.432777,-0.051501,146.681369,3.172787,drivePathRoutine,
0.440261,-0.056702,143.704849,3.191090,drivePathRoutine,
0.447358,-0.062214,140.587774,3.209872,drivePathRoutine,
0.454056,-0.068041,137.348642,3.229072,drivePathRoutine,
0.460349,-0.074184,134.011595,3.248608,drivePathRoutine,
0.466231,-0.080645,130.606001,3.268381,drivePathRoutine,
0.471696,-0.087421,127.165505,3.288273,drivePathRoutine,
0.476743,-0.094511,123.726596,3.308157,drivePathRoutine,
0.481372,-0.101912,120.326842,3.327900,drivePathRoutine,
0.485584,-0.109620,117.003009,3.347373,drivePathRoutine,
0.489383,-0.117628,113.789338,3.366457,drivePathRoutine,
0.492776,-0.125928,110.716167,3.385044,drivePathRoutine,
0.495773,-0.134512,107.809074,3.403047,drivePathRoutine,
0.498385,-0.143369,105.088554,3.420480,drivePathRoutine,
0.500626,-0.152487,102.570194,3.437928,drivePathRoutine,
0.504068,-0.171447,98.181403,3.475874,drivePathRoutine,
0.506273,-0.191258,94.696121,3.520146,drivePathRoutine,
0.507468,-0.211757,92.142558,3.573955,drivePathRoutine,
0.508000,-0.254000,90.000000,3.819622,drivePathRoutine,
0.508000,-0.254000,90.000000,4.319622,intakeBallRoutine,
0.508000,-0.254000,90.000000,4.319622,drivePathRoutine,
0.508239,-0.138718,89.647077,4.617412,drivePathRoutine,
0.509850,-0.023740,88.644913,4.740493,drivePathRoutine,
0.514038,0.090606,87.068646,4.834549,drivePathRoutine,
0.521832,0.203972,84.983124,4.913390,drivePathRoutine,
0.534096,0.315991,82.446447,4.982376,drivePathRoutine,
0.551539,0.426284,79.513128,5.044287,drivePathRoutine,
0.574725,0.534466,76.236516,5.101152,drivePathRoutine,
0.604077,0.640148,72.670306,5.157883,drivePathRoutine,
0.639895,0.742940,68.869062,5.219033,drivePathRoutine,
0.682359,0.842461,64.887809,5.286095,drivePathRoutine,
0.731541,0.938339,60.780869,5.361545,drivePathRoutine,
0.787414,1.030216,56.600260,5.450045,drivePathRoutine,
0.849862,1.117755,52.394000,5.547800,drivePathRoutine,
0.918688,1.200643,48.204695,5.645743,drivePathRoutine,
0.993625,1.278594,44.068644,5.744042,drivePathRoutine,
1.074344,1.351356,40.015584,5.842837,drivePathRoutine,
1.160466,1.418716,36.069054,5.942233,drivePathRoutine,
1.251569,1.480501,32.247263,6.042303,drivePathRoutine,
1.347196,1.536586,28.564282,6.143087,drivePathRoutine,
1.446871,1.586898,25.031411,6.244589,drivePathRoutine,
1.550101,1.631419,21.658576,6.346790,drivePathRoutine,
1.656389,1.670191,18.455670,6.449644,drivePathRoutine,
1.765244,1.703321,15.433779,6.553084,drivePathRoutine,
1.876188,1.730987,12.606284,6.657031,drivePathRoutine,
1.988769,1.753440,9.989830,6.761393,drivePathRoutine,
2.102567,1.771009,7.605176,6.866072,drivePathRoutine,
2.217205,1.784108,5.477934,6.970966,drivePathRoutine,
2.332359,1.793238,3.639190,7.075980,drivePathRoutine,
2.447765,1.798990,2.125972,7.181025,drivePathRoutine,
2.563233,1.802057,0.981464,7.286033,drivePathRoutine,
2.678651,1.803227,0.254789,7.390964,drivePathRoutine,
2.794000,1.803400,-0.000000,7.495826,drivePathRoutine,
2.908916,1.803400,0.000000,7.600295,drivePathRoutine,
3.021481,1.803400,0.000000,7.702627,drivePathRoutine,
3.129728,1.803400,0.000000,7.801033,drivePathRoutine,
3.232080,1.803400,0.000000,7.894081,drivePathRoutine,
3.327328,1.803400,0.000000,7.980670,drivePathRoutine,
3.414601,1.803400,0.000000,8.060009,drivePathRoutine,
3.493343,1.803400,0.000000,8.131592,drivePathRoutine,
3.563281,1.803400,0.000000,8.195173,drivePathRoutine,
3.676939,1.803400,0.000000,8.298498,drivePathRoutine,
3.758129,1.803400,0.000000,8.372307,drivePathRoutine,
3.846906,1.803400,0.000000,8.453014,drivePathRoutine,
3.963260,1.803400,0.000000,8.558790,drivePathRoutine,
4.024242,1.803400,0.000000,8.614228,drivePathRoutine,
4.105827,1.803400,0.000000,8.690107,drivePathRoutine,
4.206001,1.803400,0.000000,8.800582,drivePathRoutine,
4.318000,1.803400,0.000000,9.094100,drivePathRoutine,
4.318000,1.803400,0.000000,9.594100,indexerTimeRoutine,
4.318000,1.803400,0.000000,10.094100,shooterCustomVelocityRoutine,
4.318000,1.803400,-170.000000,11.551838,driveAlignYawAssistedRoutine,
4.318000,1.803400,-170.000000,12.051838,shooterVisionRoutine,
4.318000,1.803400,-170.000000,12.251838,timedRoutine,
4.318000,1.803400,-170.000000,12.751838,indexerFeedAllRoutine,
