xPos,yPos,d,t,a
-0.000000,0.000000,0.000000,0.000000,driveSetOdometryRoutine,
-0.000000,0.000000,0.000000,0.000000,drivePathRoutine,
-0.000000,0.087494,0.000000,0.270022,drivePathRoutine,
-0.000000,0.174223,0.000000,0.381033,drivePathRoutine,
-0.000000,0.259560,0.000000,0.465081,drivePathRoutine,
-0.000000,0.343018,0.000000,0.534648,drivePathRoutine,
-0.000000,0.424239,0.000000,0.594586,drivePathRoutine,
-0.000000,0.502987,0.000000,0.648394,drivePathRoutine,
-0.000000,0.579137,0.000000,0.699160,drivePathRoutine,
-0.000000,0.652661,0.000000,0.748176,drivePathRoutine,
-0.000000,0.723625,0.000000,0.795486,drivePathRoutine,
-0.000000,0.792172,0.000000,0.841184,drivePathRoutine,
-0.000000,0.858519,0.000000,0.885415,drivePathRoutine,
-0.000000,0.922939,0.000000,0.928362,drivePathRoutine,
-0.000000,1.047341,0.000000,1.011296,drivePathRoutine,
-0.000000,1.168400,0.000000,1.092003,drivePathRoutine,
-0.000000,1.289459,0.000000,1.172709,drivePathRoutine,
-0.000000,1.413861,0.000000,1.255643,drivePathRoutine,
-0.000000,1.478281,0.000000,1.298590,drivePathRoutine,
-0.000000,1.544628,0.000000,1.342821,drivePathRoutine,
-0.000000,1.613175,0.000000,1.388519,drivePathRoutine,
-0.000000,1.684139,0.000000,1.435829,drivePathRoutine,
-0.000000,1.757663,0.000000,1.484845,drivePathRoutine,
-0.000000,1.833813,0.000000,1.535611,drivePathRoutine,
-0.000000,1.912561,0.000000,1.589419,drivePathRoutine,
-0.000000,1.993782,0.000000,1.649357,drivePathRoutine,
-0.000000,2.077240,0.000000,1.718924,drivePathRoutine,
-0.000000,2.162577,0.000000,1.802972,drivePathRoutine,
-0.000000,2.249306,0.000000,1.913984,drivePathRoutine,
-0.000000,2.336800,0.000000,2.184005,drivePathRoutine,
-0.000000,2.336800,0.000000,2.184005,driveYawRoutine,
-0.000000,2.336800,1.500000,2.223741,driveYawRoutine,
-0.000000,2.336800,3.000000,2.263477,driveYawRoutine,
-0.000000,2.336800,4.500000,2.303213,driveYawRoutine,
-0.000000,2.336800,6.000000,2.342949,driveYawRoutine,
-0.000000,2.336800,7.500000,2.382685,driveYawRoutine,
-0.000000,2.336800,9.000000,2.422421,driveYawRoutine,
-0.000000,2.336800,10.500000,2.462157,driveYawRoutine,
-0.000000,2.336800,12.000000,2.501893,driveYawRoutine,
-0.000000,2.336800,13.500000,2.541629,driveYawRoutine,
-0.000000,2.336800,15.000000,2.581365,driveYawRoutine,
-0.000000,2.336800,15.000000,2.581365,drivePathRoutine,
0.019031,2.265135,14.618726,2.717516,drivePathRoutine,
0.037076,2.193432,13.517655,2.773776,drivePathRoutine,
0.053235,2.121667,11.752838,2.816799,drivePathRoutine,
0.066697,2.049833,9.374501,2.858152,drivePathRoutine,
0.076737,1.977939,6.433648,2.904104,drivePathRoutine,
0.082716,1.906010,2.988414,2.953764,drivePathRoutine,
0.084075,1.834083,-0.890921,3.006408,drivePathRoutine,
0.080332,1.762210,-5.119445,3.061403,drivePathRoutine,
0.071082,1.690454,-9.598760,3.118168,drivePathRoutine,
0.055991,1.618891,-14.222015,3.176160,drivePathRoutine,
0.034793,1.547608,-18.881958,3.234875,drivePathRoutine,
0.007291,1.476701,-23.479944,3.293860,drivePathRoutine,
-0.026652,1.406277,-27.933564,3.352722,drivePathRoutine,
-0.067109,1.336451,-32.181163,3.411131,drivePathRoutine,
-0.114100,1.267346,-36.182783,3.468827,drivePathRoutine,
-0.167589,1.199093,-39.918186,3.525616,drivePathRoutine,
-0.227486,1.131827,-43.383156,3.581365,drivePathRoutine,
-0.293658,1.065692,-46.585270,3.635990,drivePathRoutine,
-0.365921,1.000834,-49.539964,3.689455,drivePathRoutine,
-0.444053,0.937405,-52.267320,3.741754,drivePathRoutine,
-0.527790,0.875559,-54.789674,3.792914,drivePathRoutine,
-0.616833,0.815454,-57.129976,3.842980,drivePathRoutine,
-0.710848,0.757248,-59.310758,3.892018,drivePathRoutine,
-0.809472,0.701101,-61.353553,3.940104,drivePathRoutine,
-0.912313,0.647173,-63.278622,3.987328,drivePathRoutine,
-1.018956,0.595625,-65.104890,4.033787,drivePathRoutine,
-1.128962,0.546614,-66.850021,4.079584,drivePathRoutine,
-1.241876,0.500297,-68.530566,4.124828,drivePathRoutine,
-1.357226,0.456827,-70.162164,4.169635,drivePathRoutine,
-1.474526,0.416354,-71.759768,4.214120,drivePathRoutine,
-1.593283,0.379024,-73.337892,4.258406,drivePathRoutine,
-1.712995,0.344978,-74.910867,4.302616,drivePathRoutine,
-1.833157,0.314349,-76.493109,4.346874,drivePathRoutine,
-1.953263,0.287265,-78.099405,4.391307,drivePathRoutine,
-2.072809,0.263847,-79.745205,4.436043,drivePathRoutine,
-2.191295,0.244207,-81.446952,4.481209,drivePathRoutine,
-2.308232,0.228448,-83.222415,4.526933,drivePathRoutine,
-2.423140,0.216664,-85.091062,4.573341,drivePathRoutine,
-2.535552,0.208937,-87.074437,4.620558,drivePathRoutine,
-2.645019,0.205339,-89.196546,4.668706,drivePathRoutine,
-2.751112,0.205930,-91.484207,4.717900,drivePathRoutine,
-2.853426,0.210756,-93.967295,4.768252,drivePathRoutine,
-2.951579,0.219850,-96.678794,4.819863,drivePathRoutine,
-3.045220,0.233231,-99.654444,4.872817,drivePathRoutine,
-3.134029,0.250903,-102.931750,4.927182,drivePathRoutine,
-3.217721,0.272854,-106.547940,4.982994,drivePathRoutine,
-3.296048,0.299053,-110.536437,5.040254,drivePathRoutine,
-3.368804,0.329456,-114.921394,5.098908,drivePathRoutine,
-3.435826,0.363996,-119.710148,5.158836,drivePathRoutine,
-3.467147,0.382793,-122.251436,5.189253,drivePathRoutine,
-3.496996,0.402591,-124.884231,5.219909,drivePathRoutine,
-3.525364,0.423378,-127.600774,5.250764,drivePathRoutine,
-3.552247,0.445137,-130.390791,5.281774,drivePathRoutine,
-3.577647,0.467854,-133.241489,5.312888,drivePathRoutine,
-3.601566,0.491511,-136.137695,5.344047,drivePathRoutine,
-3.624012,0.516088,-139.062157,5.375191,drivePathRoutine,
-3.644994,0.541566,-141.995989,5.406254,drivePathRoutine,
-3.664526,0.567922,-144.919255,5.437167,drivePathRoutine,
-3.682628,0.595135,-147.811622,5.467858,drivePathRoutine,
-3.699321,0.623179,-150.653047,5.498255,drivePathRoutine,
-3.714631,0.652029,-153.424420,5.528286,drivePathRoutine,
-3.728589,0.681657,-156.108121,5.557879,drivePathRoutine,
-3.741228,0.712034,-158.688430,5.586962,drivePathRoutine,
-3.762711,0.774911,-163.486892,5.643227,drivePathRoutine,
-3.779443,0.840397,-167.738011,5.696619,drivePathRoutine,
-3.791861,0.908203,-171.391929,5.746576,drivePathRoutine,
-3.800476,0.978013,-174.422086,5.792473,drivePathRoutine,
-3.805881,1.049484,-176.814472,5.833528,drivePathRoutine,
-3.808749,1.122244,-178.557111,5.876249,drivePathRoutine,
-3.809840,1.195893,-179.630658,5.932336,drivePathRoutine,
-3.810000,1.270000,-180.000000,6.068449,drivePathRoutine,
