xPos,yPos,d,t,a,
0.000000,0.000000,0.000000,0.000000,driveSetOdometryRoutine,
0.000000,0.000000,0.000000,0.000000,drivePathRoutine,
0.087164,0.000000,0.000000,0.241059,drivePathRoutine,
0.173567,0.000000,0.000000,0.340164,drivePathRoutine,
0.258583,0.000000,0.000000,0.415197,drivePathRoutine,
0.341726,0.000000,0.000000,0.477302,drivePathRoutine,
0.422641,0.000000,0.000000,0.530812,drivePathRoutine,
0.501093,0.000000,0.000000,0.577981,drivePathRoutine,
0.576956,0.000000,0.000000,0.620191,drivePathRoutine,
0.650203,0.000000,0.000000,0.658383,drivePathRoutine,
0.720900,0.000000,0.000000,0.693253,drivePathRoutine,
0.789189,0.000000,0.000000,0.725346,drivePathRoutine,
0.855286,0.000000,0.000000,0.755110,drivePathRoutine,
0.919463,0.000000,0.000000,0.782928,drivePathRoutine,
1.043397,0.000000,0.000000,0.834047,drivePathRoutine,
1.164000,0.000000,0.000000,0.882288,drivePathRoutine,
1.284603,0.000000,0.000000,0.930530,drivePathRoutine,
1.408537,0.000000,0.000000,0.981649,drivePathRoutine,
1.472714,0.000000,0.000000,1.009467,drivePathRoutine,
1.538811,0.000000,0.000000,1.039231,drivePathRoutine,
1.607100,0.000000,0.000000,1.071323,drivePathRoutine,
1.677797,0.000000,0.000000,1.106193,drivePathRoutine,
1.751044,0.000000,0.000000,1.144385,drivePathRoutine,
1.826907,0.000000,0.000000,1.186595,drivePathRoutine,
1.905359,0.000000,0.000000,1.233765,drivePathRoutine,
1.986274,0.000000,0.000000,1.287274,drivePathRoutine,
2.069417,0.000000,0.000000,1.349379,drivePathRoutine,
2.154433,0.000000,0.000000,1.424413,drivePathRoutine,
2.240836,0.000000,0.000000,1.523517,drivePathRoutine,
2.328000,0.000000,0.000000,1.764576,drivePathRoutine,
2.328000,0.000000,-0.000000,1.764576,drivePathRoutine,
2.252642,0.000160,-0.363018,1.978286,drivePathRoutine,
2.177238,0.001253,-1.403994,2.066861,drivePathRoutine,
2.101759,0.004126,-3.050185,2.134919,drivePathRoutine,
2.026192,0.009541,-5.226874,2.192442,drivePathRoutine,
1.950543,0.018171,-7.855748,2.243340,drivePathRoutine,
1.874830,0.030610,-10.854032,2.289664,drivePathRoutine,
1.799089,0.047371,-14.135151,2.332670,drivePathRoutine,
1.723369,0.068891,-17.611118,2.373214,drivePathRoutine,
1.647732,0.095533,-21.196277,2.411910,drivePathRoutine,
1.572252,0.127591,-24.811604,2.449397,drivePathRoutine,
1.497017,0.165289,-28.388574,2.486544,drivePathRoutine,
1.422122,0.208789,-31.871799,2.523737,drivePathRoutine,
1.347677,0.258189,-35.220067,2.560776,drivePathRoutine,
1.273796,0.313532,-38.405868,2.597502,drivePathRoutine,
1.200606,0.374801,-41.413802,2.633821,drivePathRoutine,
1.128238,0.441930,-44.238389,2.669750,drivePathRoutine,
1.056832,0.514802,-46.881724,2.705356,drivePathRoutine,
0.986534,0.593252,-49.351314,2.740676,drivePathRoutine,
0.917494,0.677074,-51.658249,2.775879,drivePathRoutine,
0.849868,0.766019,-53.815779,2.811419,drivePathRoutine,
0.783814,0.859802,-55.838258,2.847584,drivePathRoutine,
0.719495,0.958100,-57.740432,2.884336,drivePathRoutine,
0.657074,1.060563,-59.536966,2.921627,drivePathRoutine,
0.596716,1.166809,-61.242182,2.959398,drivePathRoutine,
0.538586,1.276429,-62.869935,2.997578,drivePathRoutine,
0.482849,1.388995,-64.433598,3.036087,drivePathRoutine,
0.429670,1.504057,-65.946116,3.074838,drivePathRoutine,
0.404090,1.562378,-66.687149,3.094275,drivePathRoutine,
0.379210,1.621146,-67.420114,3.113736,drivePathRoutine,
0.355050,1.680301,-68.146563,3.133210,drivePathRoutine,
0.331629,1.739783,-68.868052,3.152683,drivePathRoutine,
0.308967,1.799528,-69.586142,3.172143,drivePathRoutine,
0.287082,1.859474,-70.302411,3.191576,drivePathRoutine,
0.265993,1.919560,-71.018456,3.210969,drivePathRoutine,
0.245720,1.979721,-71.735907,3.230310,drivePathRoutine,
0.207689,2.100018,-73.181749,3.268781,drivePathRoutine,
0.173129,2.219858,-74.653931,3.306884,drivePathRoutine,
0.142174,2.338735,-76.167575,3.344520,drivePathRoutine,
0.114949,2.456147,-77.739338,3.381794,drivePathRoutine,
0.091571,2.571597,-79.387890,3.419229,drivePathRoutine,
0.072149,2.684600,-81.134497,3.457167,drivePathRoutine,
0.056781,2.794683,-83.003709,3.495542,drivePathRoutine,
0.045554,2.901389,-85.024179,3.534289,drivePathRoutine,
0.038544,3.004280,-87.229625,3.573342,drivePathRoutine,
0.035813,3.102939,-89.659909,3.612640,drivePathRoutine,
0.037414,3.196973,-92.362153,3.652132,drivePathRoutine,
0.043380,3.286018,-95.391727,3.691780,drivePathRoutine,
0.053734,3.369741,-98.812700,3.731577,drivePathRoutine,
0.068482,3.447842,-102.697011,3.771553,drivePathRoutine,
0.087613,3.520056,-107.121090,3.811808,drivePathRoutine,
0.098814,3.553884,-109.558843,3.832102,drivePathRoutine,
0.111099,3.586159,-112.157967,3.852553,drivePathRoutine,
0.124461,3.616861,-114.924652,3.873211,drivePathRoutine,
0.138894,3.645971,-117.862579,3.894138,drivePathRoutine,
0.154387,3.673473,-120.972029,3.915359,drivePathRoutine,
0.170933,3.699355,-124.248924,3.936848,drivePathRoutine,
0.188519,3.723606,-127.683931,3.958574,drivePathRoutine,
0.207132,3.746223,-131.261748,3.980499,drivePathRoutine,
0.226760,3.767200,-134.960740,4.002577,drivePathRoutine,
0.247387,3.786539,-138.753094,4.024754,drivePathRoutine,
0.268997,3.804243,-142.605589,4.046972,drivePathRoutine,
0.291572,3.820321,-146.480997,4.069167,drivePathRoutine,
0.315093,3.834784,-150.340003,4.091274,drivePathRoutine,
0.339538,3.847646,-154.143395,4.113225,drivePathRoutine,
0.364887,3.858927,-157.854240,4.134956,drivePathRoutine,
0.391115,3.868649,-161.439724,4.156404,drivePathRoutine,
0.418198,3.876840,-164.872461,4.177510,drivePathRoutine,
0.446109,3.883529,-168.131152,4.198221,drivePathRoutine,
0.474820,3.888754,-171.200640,4.218490,drivePathRoutine,
0.504300,3.892553,-174.071472,4.238285,drivePathRoutine,
0.534520,3.894970,-176.739128,4.257642,drivePathRoutine,
0.565445,3.896054,-179.203087,4.276632,drivePathRoutine,
0.629274,3.894440,176.467927,4.314807,drivePathRoutine,
0.695490,3.888194,172.900751,4.355953,drivePathRoutine,
0.763768,3.877876,170.043171,4.402895,drivePathRoutine,
0.833755,3.864128,167.847284,4.457621,drivePathRoutine,
0.905069,3.847676,166.279270,4.523939,drivePathRoutine,
0.977299,3.829332,165.325871,4.611675,drivePathRoutine,
1.050000,3.810000,165.000000,4.825199,drivePathRoutine,
1.050000,3.810000,165.000000,5.325199,shooterVisionRoutine,
1.050000,3.810000,165.000000,5.825199,indexerFeedAllRoutine,
1.050000,3.810000,165.000000,6.325199,intakeLowerRoutine,
1.050000,3.810000,165.000000,6.325199,drivePathRoutine,
0.958990,3.834913,164.080552,6.564337,drivePathRoutine,
0.870355,3.862169,161.448204,6.661929,drivePathRoutine,
0.786165,3.893699,157.196365,6.734922,drivePathRoutine,
0.746296,3.911556,154.474677,6.766049,drivePathRoutine,
0.708172,3.931018,151.363565,6.794550,drivePathRoutine,
0.671964,3.952213,147.875827,6.821452,drivePathRoutine,
0.637828,3.975248,144.034132,6.848370,drivePathRoutine,
0.605901,4.000207,139.874070,6.876160,drivePathRoutine,
0.576305,4.027152,135.445930,6.904656,drivePathRoutine,
0.549145,4.056129,130.814376,6.933688,drivePathRoutine,
0.524511,4.087162,126.055537,6.963082,drivePathRoutine,
0.502480,4.120259,121.251636,6.992668,drivePathRoutine,
0.483110,4.155409,116.484126,7.022281,drivePathRoutine,
0.466452,4.192586,111.826821,7.051771,drivePathRoutine,
0.452538,4.231749,107.340527,7.081007,drivePathRoutine,
0.441391,4.272844,103.070073,7.109880,drivePathRoutine,
0.433020,4.315801,99.043882,7.138305,drivePathRoutine,
0.427425,4.360539,95.275523,7.166219,drivePathRoutine,
0.424593,4.406967,91.766430,7.193581,drivePathRoutine,
0.424502,4.454981,88.508989,7.220423,drivePathRoutine,
0.427120,4.504468,85.489450,7.246831,drivePathRoutine,
0.432405,4.555308,82.690360,7.272868,drivePathRoutine,
0.440308,4.607371,80.092421,7.298574,drivePathRoutine,
0.463726,4.714620,75.421110,7.349064,drivePathRoutine,
0.496828,4.825062,71.324346,7.398359,drivePathRoutine,
0.538964,4.937482,67.668642,7.446392,drivePathRoutine,
0.589400,5.050628,64.341241,7.493039,drivePathRoutine,
0.647341,5.163243,61.248312,7.538155,drivePathRoutine,
0.678863,5.218965,59.764846,7.560097,drivePathRoutine,
0.711941,5.274095,58.311776,7.581603,drivePathRoutine,
0.746467,5.328487,56.881309,7.602659,drivePathRoutine,
0.782328,5.382002,55.466312,7.623452,drivePathRoutine,
0.819416,5.434505,54.060261,7.644174,drivePathRoutine,
0.857619,5.485869,52.657232,7.664814,drivePathRoutine,
0.936936,5.584712,49.839562,7.705749,drivePathRoutine,
1.019428,5.677688,46.978621,7.746284,drivePathRoutine,
1.104288,5.764128,44.052444,7.786638,drivePathRoutine,
1.190768,5.843562,41.056421,7.826825,drivePathRoutine,
1.278202,5.915753,38.010383,7.866625,drivePathRoutine,
1.366020,5.980723,34.967884,7.905642,drivePathRoutine,
1.453766,6.038784,32.026421,7.943252,drivePathRoutine,
1.541120,6.090569,29.335752,7.978636,drivePathRoutine,
1.627913,6.137059,27.099790,8.011645,drivePathRoutine,
1.714144,6.179613,25.566465,8.042779,drivePathRoutine,
1.800000,6.220000,25.000000,8.072530,drivePathRoutine,
1.885652,6.259916,24.959840,8.101291,drivePathRoutine,
1.970572,6.299344,24.836176,8.129001,drivePathRoutine,
2.054162,6.337857,24.621881,8.155809,drivePathRoutine,
2.135963,6.375091,24.307204,8.182017,drivePathRoutine,
2.215639,6.410740,23.880358,8.207675,drivePathRoutine,
2.292976,6.444555,23.328189,8.232719,drivePathRoutine,
